trabalhoCompletoEmCongresso	Iara Augustin	2010		Ciência do Contexto para Tarefas Clínicas em um Sistema de Saúde Pervasivo	XXXVI Conferência Latino-americana de Informática	MACHADO, A. ; VICENTINI, Caroline F. ; Librelotto, G. R. ; AUGUSTIN, I.	B4	Conferencia Latinoamericana de Informática
trabalhoCompletoEmCongresso	Iara Augustin	2010		ARQUITETURA PERVASIVA PARA ENTRADA AUTOMÁTICA DE DADOS NO AMBIENTE CLÍNICO	XII Congresso Brasileiro de Informática na Saúde	RIZZETTI, Thiago Antionio ; AUGUSTIN, I.	B4	Congresso Brasileiro de Informática em Saúde
trabalhoCompletoEmCongresso	Iara Augustin	2010		DETECÇÃO DE ATIVIDADES CLÍNICAS A PARTIR DO HISTÓRICO DE EXECUÇÃO DO USUÁRIO	XII Congresso Brasileiro de Informática na Saúde	SOUZA, M. V. ; AUGUSTIN, I.	B4	Congresso Brasileiro de Informática em Saúde
trabalhoCompletoEmCongresso	Iara Augustin	2010		Revisando o Desenvolvimento de Aplicações na Medicina Ubíqua	ERAD 2010 - Forum de Pós-Graduação	Rodrigues, S. ; YAMIN, Adenauer Correa ; AUGUSTIN, I.	Qualis nao identificado	ERAD 2010 - Forum de Pós-Graduação
trabalhoCompletoEmCongresso	Iara Augustin	2010		Requisitos para Sistema de Auxílio às Atividades dos Profissionais de Saúde em um Ambiente Ubíquo	ERAD 2010 - Forum de Pós-Graduação	VICENTINI, Caroline F. ; AUGUSTIN, I.	Qualis nao identificado	ERAD 2010 - Forum de Pós-Graduação
trabalhoCompletoEmCongresso	Iara Augustin	2010		EXEHDA-SS: Uma Contribuição a Sensibilidade ao Contexto na Medicina Ubíqua	ERAD 2010 - Forum de Pós-Graduação	Venecian, L. ; LOPES, João Ladislau ; PALAZZO, L. A. M. ; YAMIN, Adenauer Correa ; AUGUSTIN, I.	Qualis nao identificado	ERAD 2010 - Forum de Pós-Graduação
trabalhoCompletoEmCongresso	Iara Augustin	2010		COMPARATIVO ENTRE PROJETOS DE INFRAESTRUTURA COMPUTACIONAL PERVASIVA PARA AMBIENTES CLÍNICOS	IX Simpósio de Informática da Região Centro-Oeste RS (SIRC)	KROTH, M. ; AUGUSTIN, I.	Qualis nao identificado	IX Simpósio de Informática da Região Centro-Oeste RS (SIRC)
trabalhoCompletoEmCongresso	Iara Augustin	2009		Middleware for management of end-user programming of clinical activities in a pervasive environment	on Middleware for Ubiquitous and Pervasive Systems (WMUPS)	FERREIRA, Giuliano Lopes ; LORENZI, Fabio ; Librelotto, G. R. ; AUGUSTIN, I.	Qualis nao identificado	on Middleware for Ubiquitous and Pervasive Systems (WMUPS)
trabalhoCompletoEmCongresso	Iara Augustin	2009		Introduzindo o Gerenciando de Tarefas Clínicas em um Middleware da Computação Pervasiva	Workshop em Informatica Medica	FERREIRA, Giuliano Lopes ; LORENZI, Fabio ; Librelotto, G. R. ; AUGUSTIN, I.	B4	Workshop de Informática Médica
trabalhoCompletoEmCongresso	Iara Augustin	2009		Requisitos de um Registro Eletrônico de Saúde Ubíquo	VIII Simpósio de Informática da Região Centro do RS	VICENTINI, Caroline F. ; MACHADO, A. ; Librelotto, G. R. ; AUGUSTIN, I.	Qualis nao identificado	VIII Simpósio de Informática da Região Centro do RS
